
Частота появления:
х : 0.12933753943217666
ь : 0.10410094637223975
б : 0.08832807570977919
ч : 0.07097791798107256
t : 0.06309148264984227
1 : 0.06309148264984227
а : 0.04889589905362776
ы : 0.04889589905362776
  : 0.04258675078864353
< : 0.02996845425867508
д : 0.026813880126182965
ъ : 0.02365930599369085
щ : 0.02365930599369085
я : 0.022082018927444796
ф : 0.01892744479495268
> : 0.01892744479495268
и : 0.01892744479495268
5 : 0.017350157728706624
е : 0.015772870662460567
2 : 0.015772870662460567
r : 0.015772870662460567
7 : 0.014195583596214511
л : 0.014195583596214511
к : 0.014195583596214511
о : 0.012618296529968454
м : 0.011041009463722398
й : 0.00946372239747634
ш : 0.007886435331230283
8 : 0.0031545741324921135
4 : 0.0031545741324921135
- : 0.0015772870662460567
у : 0.0015772870662460567
